site_no,station_name,begin
USGS-392116106443101,RuediResSouthShore,2023-06-30
USGS-391851106365401,SellerCreek,2023-06-29
USGS-390622106343001,IndependencePass,2022-12-19
USGS-392126107023401,ArbaneyDitch,2023-07-03
USGS-391059107144601,CokeOvens,2023-06-30
USGS-391257107133001,CrystalRiver,2023-06-30
USGS-391845107123201,EastMesaDitch,2023-08-04
USGS-391926107015001,EastSoprisCreek,2023-06-29
USGS-391326106452601,HunterCreek,2023-10-19
USGS-391600106453901,Larkspur Mountain,2023-07-01
USGS-392649107091301,MissouriHeights,2023-10-18
USGS-391014106480001,NorthStar,2023-06-29
USGS-391020107144201,RedstoneCastle,2023-06-30
USGS-392248106580101,SevenCastles,2023-06-30
USGS-392823107131701,SpringValley,2023-06-29
USGS-391336106455801,VanHornPark,2023-06-29
USGS-391958106584401,WheatleyGulch,2023-07-01
